# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1030
#@/user_id	.backup
a 	啊	c=5 d=4.90637 t=1030
chuang jian 	創建	c=6 d=1.84542 t=1030
chun 	春	c=1 d=0.0480747 t=1030
chun zhao 	春招	c=11 d=6.62015 t=1030
ci 	次	c=1 d=0.637246 t=1030
ci 	詞	c=3 d=1.85291 t=1030
ci dian 	詞典	c=3 d=1.4771 t=1030
cuo 	錯	c=1 d=0.513965 t=1030
cuo wu 	錯誤	c=1 d=0.900194 t=1030
cuo wu ri zhi 	錯誤日誌	c=1 d=0.818731 t=1030
da 	畣	c=2 d=0.787158 t=1030
da 	韃	c=1 d=0.400517 t=1030
da da 	大大	c=30 d=3.81701 t=1030
da da 	答答	c=1 d=0.398519 t=1030
da da de 	大大的	c=1 d=0.392586 t=1030
da da suo 	大大所	c=1 d=0.0356146 t=1030
da dian hua 	打電話	c=2 d=0.165406 t=1030
da nao 	大腦	c=2 d=0.0682655 t=1030
da sai 	大賽	c=11 d=1.71487 t=1030
da xue 	大學	c=2 d=0.260709 t=1030
dai 	帶	c=2 d=1.204 t=1030
dai 	待	c=5 d=3.02705 t=1030
dai li 	代理	c=14 d=6.5521 t=1030
dai ma 	代碼	c=1 d=1.099 t=1030
dan 	單	c=1 d=0.0391639 t=1030
dan du 	單獨	c=2 d=0.188369 t=1030
dang 	當	c=2 d=1.99501 t=1030
dao 	到	c=2 d=0.150416 t=1030
dao ke 	稻殼	c=2 d=0.282423 t=1030
dao ru 	導入	c=4 d=1.99501 t=1030
de 	的	c=46 d=10.6362 t=1030
de dao 	得到	c=1 d=0.171187 t=1030
den 	㩐	c=0 d=0.0102797 t=1030
den bu shang qu 	㩐不上去	c=1 d=0.103312 t=1030
deng 	登	c=2 d=0.210273 t=1030
deng 	等	c=1 d=0.114681 t=1030
deng bu shang qu 	等不上去	c=1 d=0.10383 t=1030
di 	帝	c=1 d=0.0297478 t=1030
di 	底	c=1 d=0.0395575 t=1030
di er 	第二	c=2 d=0.067925 t=1030
di san fang 	第三方	c=2 d=0.0633329 t=1030
di tu 	地圖	c=5 d=0.193914 t=1030
di tu 	底土	c=-1 d=0.0246002 t=1030
di yi ju hua 	第一句話	c=2 d=0.145242 t=1030
di zhi 	地址	c=2 d=0.0801103 t=1030
dian 	電	c=3 d=2.06527 t=1030
dian 	點	c=2 d=1.91221 t=1030
dian lao ban 	電老闆	c=1 d=0.763379 t=1030
dian nao 	電腦	c=5 d=3.65633 t=1030
dian nao ban 	電腦板	c=-1 d=0.767206 t=1030
dian nao ban 	電腦版	c=1 d=0.771052 t=1030
dian qi 	電氣	c=7 d=0.360674 t=1030
dian qi yu dian zi xin xi 	電氣與電子信息	c=1 d=0.0426384 t=1030
dian wan 	電丸	c=1 d=0.650509 t=1030
dian xin 	電信	c=14 d=8.3285 t=1030
dian zi xin xi 	電子信息	c=6 d=0.313936 t=1030
die 	蝶	c=1 d=0.0241131 t=1030
ding 	定	c=1 d=1 t=1030
ding yi 	定義	c=2 d=1.99501 t=1030
ding yue 	訂閱	c=1 d=0.030803 t=1030
ding yue zhuan huan 	訂閱轉換	c=1 d=0.0280154 t=1030
dong 	董	c=1 d=0.0322208 t=1030
dong jia ling 	董嘉陵	c=1 d=0.0347353 t=1030
dong tai 	動態	c=2 d=0.364455 t=1030
dou 	鬥	c=3 d=1.02066 t=1030
dou po cang qiong 	豆粕蒼穹	c=-1 d=0 t=1030
dou po cang qiong 	鬥破蒼穹	c=2 d=0.928299 t=1030
dou zai 	都在	c=2 d=1.06253 t=1030
du 	毒	c=1 d=0.0332068 t=1030
du kui 	毒蝰	c=1 d=0.0332068 t=1030
du li 	獨立	c=2 d=0.241871 t=1030
du yao 	毒藥	c=2 d=0.0550589 t=1030
duan ceng 	斷層	c=2 d=1.99501 t=1031
dui ying 	對應	c=2 d=0.0593472 t=1030
duo 	多	c=4 d=1.04671 t=1030
duo duo 	多多	c=1 d=0.0415607 t=1030
duo hang 	多行	c=2 d=0.142366 t=1030
duo yu 	多餘	c=1 d=0.565444 t=1030
duo yu pei zhi 	多餘配置	c=1 d=0.514274 t=1030
er 	爾	c=3 d=0.28737 t=1030
er 	而	c=2 d=1.33454 t=1030
er ji 	二季	c=3 d=0.158627 t=1030
er ji 	耳機	c=2 d=0.237082 t=1030
er jie 	二階	c=2 d=0.334757 t=1030
er yao 	二要	c=-1 d=0.0614212 t=1030
er yao 	而要	c=2 d=0.12315 t=1030
er yue 	二月	c=2 d=0.423437 t=1030
fa 	法	c=2 d=0.161322 t=1030
fa 	發	c=1 d=0.0804596 t=1030
fa bu hui 	發佈會	c=2 d=0.1154 t=1030
fa song 	發送	c=2 d=0.16376 t=1030
fan 	反	c=1 d=1 t=1030
fan cha 	反差	c=1 d=1 t=1030
fan cha 	反查	c=1 d=1 t=1030
fan kui 	反饋	c=4 d=0.460155 t=1030
fan xie gang 	反斜槓	c=6 d=5.19849 t=1030
fan ye 	翻頁	c=2 d=1.08399 t=1030
fang 	房	c=1 d=0.128735 t=1030
fang 	防	c=3 d=0.543314 t=1030
fang an 	方案	c=2 d=1.33063 t=1030
fang bian 	方便	c=1 d=0.794058 t=1030
fang cheng 	方程	c=6 d=0.95583 t=1030
fang fa 	方法	c=4 d=1.35909 t=1030
fang ge 	放歌	c=2 d=1.18016 t=1030
fang huo qiang 	防火牆	c=2 d=0.129464 t=1030
fang mi lu 	防迷路	c=1 d=0.247833 t=1030
fei ji 	飛機	c=4 d=1.97402 t=1030
fen ping 	分平	c=1 d=0.50409 t=1030
fen qu 	分區	c=2 d=0.0391893 t=1030
fen shu 	分數	c=3 d=0.0958729 t=1030
fen shu zhi huan 	分數置換	c=1 d=0.0288686 t=1030
fen zhan 	奮戰	c=2 d=1.23448 t=1030
fen zhi 	分支	c=2 d=1.24067 t=1030
fu 	付	c=1 d=0.704688 t=1030
fu 	副	c=0 d=0.00742736 t=1030
fu 	符	c=1 d=0.0832385 t=1030
fu chou 	復仇	c=1 d=0.329511 t=1030
fu cong 	服從	c=6 d=0.333808 t=1030
fu fei 	付費	c=2 d=1.13388 t=1030
fu hao 	符號	c=8 d=5.14053 t=1030
fu wu 	服務	c=2 d=0.198027 t=1030
fu zhu 	輔助	c=4 d=0.321757 t=1030
gai zhuang 	改裝	c=2 d=1.06785 t=1030
gan 	肝	c=1 d=0.0295994 t=1030
gan di 	肝帝	c=1 d=0.0295994 t=1030
gang 	剛	c=1 d=0.711668 t=1030
gang shou dao 	剛收到	c=1 d=0.647265 t=1030
gao ceng 	高層	c=2 d=0.148177 t=1030
gao deng 	高等	c=2 d=0.139547 t=1030
gao du 	高度	c=2 d=0.980835 t=1030
gao qiao 	高橋	c=2 d=1.99501 t=1030
ge 	個	c=9 d=2.25409 t=1030
ge 	哥	c=4 d=3.79117 t=1022
ge ci 	歌詞	c=4 d=2.8902 t=1030
ge shi hua 	格式化	c=2 d=0.141656 t=1030
ge yan 	格言	c=2 d=0.191216 t=1030
gei 	給	c=6 d=0.311173 t=1030
gen huan 	跟換	c=1 d=0.0958472 t=1030
geng hao 	更好	c=1 d=0.0963276 t=1030
geng huan 	更換	c=2 d=0.194106 t=1030
gong 	共	c=1 d=0.060205 t=1030
gong cheng 	工程	c=14 d=0.72803 t=1030
gong ju 	工具	c=2 d=1.73438 t=1030
gong neng 	功能	c=5 d=3.73569 t=1030
gong qing 	共青	c=1 d=0.060205 t=1030
gong si 	公司	c=2 d=0.451874 t=1030
gong wang 	公網	c=2 d=0.900909 t=1030
gu ge 	谷歌	c=2 d=0.0503201 t=1030
gu jian 	固件	c=2 d=0.0655888 t=1030
gua hu zi 	刮鬍子	c=2 d=0.0564528 t=1030
guan cha 	觀察	c=12 d=2.30399 t=1030
guan fang 	官方	c=2 d=1.31739 t=1030
guan li 	管理	c=6 d=2.09603 t=1030
guan li qi 	管理器	c=1 d=0.0959205 t=1030
guan wang 	官網	c=4 d=2.74003 t=1030
guan wang 	觀望	c=1 d=0.489192 t=1030
guan zhu 	關注	c=2 d=0.763875 t=1030
guang biao 	光標	c=6 d=2.93776 t=1030
guang dian 	廣電	c=1 d=0.499002 t=1030
guang dian kuan dai 	廣電寬帶	c=1 d=0.453845 t=1030
guang li 	廣裏	c=1 d=1 t=1044
gui hua 	桂花	c=3 d=0.175656 t=1030
gui hua bei lu 	桂花北路	c=1 d=0.066205 t=1030
gui lai 	歸來	c=2 d=0.102351 t=1030
gui ze 	規則	c=9 d=7.16834 t=1030
guo 	國	c=1 d=0.566851 t=1030
guo 	過	c=1 d=0.166936 t=1030
guo 	郭	c=1 d=0.0393602 t=1030
guo an 	國安	c=2 d=0.0721253 t=1030
guo guang 	國光	c=2 d=1.96531 t=1030
guo he xian 	郭和先	c=3 d=0.142047 t=1030
guo ji 	國際	c=2 d=0.861267 t=1030
guo lai 	過來	c=2 d=0.514607 t=1030
guo nei 	國內	c=2 d=0.187857 t=1030
guo wang 	國網	c=1 d=0.566851 t=1030
guo wang guo 	國網國	c=1 d=0.579842 t=1030
guo yuan dian 	過原點	c=1 d=0.151829 t=1030
ha 	哈	c=1 d=0.0338776 t=1030
hai 	海	c=2 d=0.170444 t=1030
hai mei 	還沒	c=2 d=1.27207 t=1030
hai zai 	還在	c=2 d=0.269995 t=1030
han 	汗	c=2 d=0.16138 t=1030
han 	漢	c=2 d=0.119511 t=1030
han hua 	漢化	c=2 d=0.400777 t=1030
hang 	行	c=2 d=0.388932 t=1030
hao 	號	c=8 d=1.47794 t=1030
he 	和	c=7 d=1.46043 t=1030
he li wen bo 	和李文博	c=1 d=0.527292 t=1030
he zi 	盒子	c=4 d=0.107284 t=1030
hou mian 	後面	c=1 d=1.099 t=1030
hu 	乎	c=1 d=0.0216013 t=1030
hu bei 	湖北	c=15 d=4.39807 t=1030
hu bei li gong 	湖北理工	c=1 d=0.0403566 t=1030
hu bei sheng 	湖北省	c=6 d=0.303478 t=1030
hua 	化	c=2 d=1.99501 t=1054
hua 	畫	c=8 d=2.04117 t=1030
hua 	話	c=2 d=0.509487 t=1030
huan 	換	c=1 d=0.0645703 t=1030
huan yuan 	換源	c=1 d=0.0645703 t=1030
huang 	黃	c=2 d=0.0627027 t=1030
huang gang 	黃岡	c=2 d=0.122536 t=1030
huang shi 	黃石	c=4 d=3.18673 t=1030
huang shi shi 	黃石市	c=3 d=0.146892 t=1030
hui che 	回車	c=2 d=0.143797 t=1030
hui fu 	回覆	c=1 d=0.0194482 t=1030
hui fu 	恢復	c=2 d=0.0389939 t=1030
hui yi 	會以	c=-2 d=0.0603955 t=1030
hui yi 	會議	c=-2 d=0.0602441 t=1030
hui zong 	彙總	c=1 d=0.26312 t=1030
hui zong yuan 	彙總源	c=1 d=0.244143 t=1030
huo 	或	c=2 d=1.99501 t=1030
huo 	火	c=1 d=1 t=1034
huo bi 	火嗶	c=1 d=1 t=1033
huo bi 	火幣	c=11 d=10.697 t=1039
ji 	紀	c=1 d=0.621795 t=1030
ji ben 	基本	c=2 d=1.10589 t=1030
ji chu 	基礎	c=2 d=0.158128 t=1030
ji ge 	幾個	c=2 d=0.701629 t=1030
ji guang 	極光	c=2 d=0.1774 t=1030
ji guang 	激光	c=1 d=0.0884781 t=1030
ji jian 	幾件	c=2 d=0.741299 t=1030
ji jin 	基金	c=2 d=1.60906 t=1030
ji jing guo 	紀經國	c=1 d=0.565525 t=1030
ji ke 	即可	c=2 d=1.02086 t=1030
ji shi ben 	記事本	c=4 d=3.40024 t=1030
ji shu 	技術	c=2 d=0.900909 t=1030
ji suan ji 	計算機	c=2 d=0.0401814 t=1030
ji zhong 	幾種	c=2 d=0.971076 t=1030
ji zhong 	集中	c=1 d=0.484325 t=1030
jia ling 	嘉陵	c=1 d=0.0323823 t=1030
jia ru 	加入	c=2 d=0.0590512 t=1030
jia yong 	家用	c=2 d=0.167906 t=1030
jian 	見	c=1 d=0.494109 t=1030
jian 	鍵	c=6 d=1.66331 t=1030
jian cha 	檢查	c=2 d=0.932999 t=1030
jian ge hao 	間隔號	c=2 d=1.97516 t=1030
jian guo 	堅果	c=1 d=1.0995 t=1004
jian guo yun 	堅果雲	c=1 d=1 t=1004
jian kang 	健康	c=2 d=0.125638 t=1030
jian pan 	鍵盤	c=4 d=2.25416 t=1030
jiao ben 	腳本	c=2 d=0.540992 t=1030
jiao cheng 	教程	c=7 d=1.98506 t=1030
jiao fei 	繳費	c=2 d=0.263329 t=1030
jiao shen me 	叫什麼	c=1 d=0.946485 t=1030
jiao wei 	較爲	c=2 d=1.99501 t=1051
jiao wu chu 	教務處	c=2 d=0.0570201 t=1030
jiao yu 	教育	c=4 d=0.16802 t=1030
jiao zhu 	腳註	c=2 d=0.423437 t=1030
jiao zuo 	叫做	c=2 d=0.0854904 t=1030
jie 	階	c=1 d=0.146607 t=1030
jie jue 	解決	c=2 d=1.14528 t=1030
jie shao 	介紹	c=4 d=2.22511 t=1030
jie shou 	接受	c=1 d=0.532592 t=1030
jie shu 	階數	c=1 d=0.146607 t=1030
jin 	金	c=2 d=1.13957 t=1030
jin dong 	今冬	c=1 d=0.0257325 t=1030
jin du 	進度	c=4 d=3.97017 t=1027
jin ri 	今日	c=2 d=0.58605 t=1030
jin rong 	金融	c=2 d=0.227785 t=1030
jin ruo 	盡若	c=1 d=0.292293 t=1030
jin sha 	金沙	c=1 d=0.0199405 t=1030
jin sha 	金莎	c=4 d=0.0793668 t=1030
jing dong 	京東	c=4 d=0.278245 t=1030
jing dong 	景東	c=-1 d=0.0258615 t=1030
jing dong 	驚動	c=-1 d=0 t=1030
jing gao 	警告	c=2 d=0.419224 t=1030
jing guo 	經國	c=1 d=0.624628 t=1030
jing li 	精力	c=2 d=0.756274 t=1030
jing li 	經歷	c=4 d=0.170147 t=1030
jing xiang 	鏡像	c=6 d=0.368399 t=1030
jiu 	就	c=1 d=0.0357879 t=1030
jiu bu yong 	就不用	c=1 d=0.0325493 t=1030
jiu yue 	九月	c=2 d=0.442927 t=1030
ju da wu bi 	巨大無比	c=2 d=0.192175 t=1030
jue dui 	絕對	c=2 d=0.245526 t=1030
ka 	卡	c=2 d=1.18608 t=1030
kai ji 	開機	c=2 d=0.914525 t=1030
kai qi 	開啓	c=2 d=1.16842 t=1030
kai yuan 	開源	c=2 d=0.971076 t=1030
kan ban 	看板	c=4 d=1.0732 t=1030
kan de 	看得	c=1 d=0.451516 t=1030
kan de zui duo 	看得最多	c=1 d=0.410656 t=1030
kan guo 	看過	c=2 d=0.980835 t=1030
kao lv 	考慮	c=2 d=1.09488 t=1030
kao shi 	考試	c=8 d=5.10882 t=1030
ke 	克	c=2 d=0.580218 t=1030
ke 	可	c=3 d=1.0995 t=1030
ke cheng 	課程	c=2 d=1.21003 t=1030
ke ji 	科技	c=2 d=0.88307 t=1030
ke pu 	科普	c=2 d=0.896416 t=1030
ke yi 	可以	c=6 d=1.01071 t=1030
ke yi ba 	可以吧	c=1 d=0.247833 t=1030
ke zi ding yi 	可自定義	c=1 d=1 t=1030
kong jian 	空間	c=1 d=0.396294 t=1030
kong zhi 	控制	c=2 d=0.402786 t=1030
kou fei 	扣費	c=2 d=1.61712 t=1030
ku 	庫	c=4 d=0.263524 t=1030
kua ping tai 	跨平臺	c=2 d=0.975943 t=1030
kuai jie jian 	快捷鍵	c=8 d=4.86502 t=1030
kuai su 	快速	c=3 d=1.56172 t=1030
kuai su xuan ci 	快速選詞	c=1 d=0.431711 t=1030
kuan dai 	寬帶	c=1 d=0.501276 t=1030
kui 	蝰	c=1 d=0.0333733 t=1030
kuo zhan ming 	擴展名	c=2 d=0.966232 t=1030
la ji 	垃圾	c=5 d=0.507209 t=1030
lai 	來	c=-1 d=1.19752 t=1030
lai 	萊	c=-1 d=0.444858 t=1030
lai chu fa 	來出發	c=-1 d=0.975309 t=1030
lai chu fa 	來觸發	c=1 d=1 t=1030
lan 	藍	c=1 d=0.0393602 t=1030
lan di 	藍底	c=1 d=0.0393602 t=1030
lan ya 	藍牙	c=4 d=0.477853 t=1030
lao ban 	老闆	c=0 d=0.0759572 t=1030
le 	了	c=10 d=2.61797 t=1030
le yi 	了一	c=1 d=0.0466538 t=1030
le yu 	樂於	c=6 d=0.339449 t=1030
lei 	累	c=1 d=0.199888 t=1030
lei 	雷	c=2 d=0.400777 t=1030
lei shen 	雷神	c=6 d=0.494455 t=1030
lei si 	類似	c=2 d=1.99501 t=1042
li 	力	c=3 d=1.34234 t=1030
li 	哩	c=3 d=0.438096 t=1030
li gong 	理工	c=5 d=0.206312 t=1030
li ji 	立即	c=0 d=0.00320647 t=1030
li wen 	李文	c=1 d=0.327868 t=1030
li wen bo 	李文博	c=2 d=0.880599 t=1030
lian jie 	連接	c=4 d=0.286458 t=1030
lian jie 	鏈接	c=3 d=0.989457 t=1030
liang ge 	兩個	c=1 d=1.0995 t=1030
liang ge gong neng 	兩個功能	c=1 d=1 t=1030
liao jie 	瞭解	c=1 d=0.0378114 t=1030
liao jie le 	瞭解了	c=1 d=0.0343896 t=1030
lin shi 	臨時	c=2 d=1.83244 t=1030
ling 	令	c=2 d=0.966232 t=1030
liu 	六	c=1 d=0.126818 t=1030
liu 	劉	c=0 d=0.00395575 t=1030
liu 	柳	c=1 d=0.0383884 t=1030
liu hao 	六號	c=4 d=0.108243 t=1030
liu wen 	劉文	c=0 d=0.00889216 t=1030
liu wen yu 	劉文宇	c=1 d=0.0911727 t=1030
liu wen yu 	劉文與	c=-1 d=0.180085 t=1030
liu yue 	六月	c=2 d=0.431991 t=1030
liu zi ben 	劉資本	c=1 d=0.0397558 t=1030
liu zi bin 	柳子彬	c=15 d=2.11908 t=1030
long 	龍	c=1 d=0.927743 t=1030
lu 	盧	c=3 d=1.08141 t=1030
lu jing 	路徑	c=5 d=0.519131 t=1030
lu yin 	錄音	c=2 d=1.68312 t=1030
lu you 	路由	c=8 d=1.86887 t=1030
lu you qi 	路由器	c=2 d=0.169593 t=1030
luan ma 	亂碼	c=2 d=1.91678 t=1030
lun tan 	論壇	c=6 d=0.673558 t=1030
ma 	嗎	c=2 d=1.2913 t=1030
ma biao 	碼錶	c=6 d=5.22102 t=1030
mai 	買	c=4 d=1.48689 t=1030
mai ke feng 	麥克風	c=2 d=1.66637 t=1030
man zu 	滿足	c=6 d=0.876257 t=1030
mei shi 	沒事	c=1 d=0.582664 t=1030
mei shi 	美式	c=3 d=1.63462 t=1030
mei shi jian pan 	沒事鍵盤	c=-1 d=0.529935 t=1030
mei shi jian pan 	美式鍵盤	c=-1 d=0.532592 t=1030
mei you 	沒有	c=6 d=3.0298 t=1030
men 	們	c=2 d=0.0633329 t=1030
mi lu 	迷路	c=1 d=0.286506 t=1030
mi ma 	密碼	c=15 d=1.69056 t=1030
mi shi 	迷失	c=1 d=0.0812682 t=1030
mi shu 	祕書	c=1 d=0.0808629 t=1030
mi yao 	密鑰	c=4 d=0.326712 t=1030
mian ban 	面板	c=2 d=0.404805 t=1030
mian fei 	免費	c=2 d=0.980835 t=1030
min guo 	民國	c=2 d=0.21345 t=1030
ming 	名	c=2 d=0.188369 t=1030
ming 	朙	c=1 d=0.56836 t=1030
ming dan 	名單	c=2 d=1.2161 t=1030
ming ling 	命令	c=15 d=4.05328 t=1030
ming ling hang 	命令行	c=4 d=1.74735 t=1030
ming ling mu lu 	命令目錄	c=1 d=0.585669 t=1030
ming ma 	明碼	c=0 d=0.0562705 t=1030
ming ma guan li qi 	明碼管理器	c=1 d=0.565525 t=1030
ming yue 	明月	c=2 d=1.12823 t=1030
ming yue 	朙月	c=1 d=0.56836 t=1030
ming zi 	名字	c=2 d=0.147437 t=1030
mo er 	摩爾	c=8 d=0.194659 t=1030
mo ni qi 	模擬器	c=4 d=0.342613 t=1030
mo ren 	默認	c=10 d=3.58609 t=1030
mo xing 	模型	c=1 d=1.099 t=1030
mou 	某	c=1 d=1 t=1030
mu 	目	c=1 d=0.0742736 t=1030
mu bu 	幕布	c=6 d=0.659926 t=1030
mu lu 	目錄	c=4 d=1.74723 t=1030
mu qian 	目前	c=4 d=1.99501 t=1030
na 	哪	c=2 d=0.852697 t=1030
na 	納	c=3 d=0.65756 t=1030
na 	那	c=6 d=2.13431 t=1030
na ge 	那個	c=1 d=0.965605 t=1030
na jiu 	那就	c=2 d=0.0631606 t=1030
na ke 	那可	c=3 d=1.2575 t=1030
na ke 	那顆	c=1 d=0.933795 t=1030
na ke bu 	那顆補	c=1 d=0.802519 t=1030
na ke bu tai xing 	那可不太行	c=1 d=0.621885 t=1030
na ke bu xin 	那可不信	c=-1 d=0 t=1030
na ke bu xin 	那顆不信	c=-1 d=0.516851 t=1030
na ke bu xing 	那可不行	c=8 d=4.04016 t=1030
na li 	哪裏	c=2 d=0.135423 t=1030
na me duo 	那麼多	c=2 d=0.726621 t=1030
na shi bu ke neng 	那是不可能	c=1 d=0.463013 t=1030
na wo 	那我	c=1 d=0.0340475 t=1030
na yi fang mian 	納一方面	c=1 d=0.421052 t=1030
nai 	奈	c=1 d=0.0968105 t=1030
nai 	耐	c=1 d=0.0997588 t=1030
